Feature,Importance
59,0.09595621831112108
41,0.06840264552767779
215,0.06054717830360382
42,0.05940025719469304
194,0.0588337408475291
170,0.057650579105990134
70,0.05315012309333767
23,0.0513259448848429
1,0.05101097445660814
79,0.04490958469199939
38,0.04196645956237287
189,0.04041646936407604
18,0.038658273430358145
342,0.034215722949649946
119,0.032917232956598916
122,0.03230606978616209
352,0.029958015187488703
10,0.029127567346001127
412,0.02847783034599465
74,0.02670332384163962
424,0.026120554247084912
21,0.02547152990116725
411,0.025174662407256475
164,0.02391761981646525
270,0.02269761615842758
39,0.02236397863712269
22,0.021891180664261087
158,0.021780260307807914
441,0.021634981078562363
222,0.0210655220060527
108,0.020247100629799234
20,0.01998849157102732
33,0.0193765358173351
197,0.018730165331135366
284,0.01867476942692939
439,0.018354104705335963
86,0.018285063635667904
76,0.01814805303054867
227,0.01740919464949866
225,0.017398818790488386
16,0.01644911859836477
261,0.015908578347701784
134,0.015576382355404475
285,0.01522328420547108
406,0.015201866598392306
186,0.014831987877426085
112,0.014637917621254819
266,0.014514258168913942
91,0.01379756743907452
239,0.01335451756387423
281,0.013312713459309636
249,0.013096576183141511
348,0.012775394854624615
51,0.012697866185205284
205,0.011990627651311814
145,0.01182979626576285
19,0.01167913407781455
195,0.0116730021186248
68,0.011468400999032166
57,0.010814841820975963
133,0.010773644297913663
283,0.010736138492280238
393,0.010613896217534653
5,0.010349968119937922
394,0.010153255595896318
429,0.010124109628225521
202,0.009735005902965166
92,0.00966068839196187
431,0.00956767909389675
156,0.009009967982114175
47,0.008939213215065564
35,0.008750116258561197
321,0.008730455082134263
338,0.008707065222445997
392,0.008671504451339851
280,0.008597470045534133
100,0.008366735724345887
228,0.008082553984668143
31,0.00780410313695574
296,0.007660900790571596
116,0.007634138286583499
124,0.007238311216823692
274,0.007046188909734678
121,0.006930627601480403
355,0.006853208331155421
231,0.006846943454200184
87,0.006778488014643511
311,0.006776440336897527
383,0.006699412646065439
297,0.006522123317652152
402,0.0065206838785087685
260,0.005995501010920762
317,0.0059929390934795245
251,0.005952277463650797
347,0.005818080166374668
288,0.005684335908622946
54,0.005661283568943239
252,0.005566218836932855
161,0.005433079234040299
299,0.005398956838526436
408,0.00534410632524629
181,0.005336906393262059
127,0.005294320232028836
372,0.00518857742923071
58,0.005091629526744471
50,0.004947799615958866
62,0.004927834643877206
385,0.004828545069277733
244,0.00479828043358389
93,0.004613418032374517
339,0.004588437998987681
213,0.004515159970405348
166,0.004506848650525
82,0.004356753866120162
184,0.004312997868973442
36,0.004136506530699462
358,0.0040468856468933
229,0.003966560889092971
223,0.003962835182570035
344,0.003953544003594653
66,0.00389056467020536
312,0.0038134084193028905
268,0.003796019331504429
379,0.003791793123007641
178,0.003781439633001151
172,0.003766589513657252
27,0.0036926683008794738
81,0.003564002440222519
78,0.0035263555166371347
282,0.0035179830610784727
289,0.0034958611733413945
401,0.0034736740544434068
238,0.003450370665692455
175,0.003425372860622988
4,0.0033500431074907334
140,0.0033445366869814456
77,0.003201929604151808
277,0.0031938182904012714
267,0.0031533010057502244
361,0.003122627425340956
387,0.003103139815892024
374,0.0030868502290134635
29,0.0030831876129901355
410,0.003004950160054496
64,0.002891378542367508
191,0.0026178958068211453
409,0.00258884568160767
99,0.002579049986566215
Spectral_Ratio,0.0025273463863044877
254,0.0024820493878317347
160,0.0024625521258226078
403,0.0024467152478238954
15,0.0024292835341176906
2,0.002412526708388509
155,0.0024022524430349834
198,0.002394385269766543
276,0.0023154214244161422
360,0.002300688832232171
399,0.002299113356701614
346,0.0022392869402588396
265,0.0022367903124654366
356,0.0022335017337113024
67,0.0022075450360023122
415,0.002186250327058054
389,0.0020691904201151786
308,0.0019321307916865982
301,0.0019099778011277754
256,0.0018943227725849267
55,0.0017570453667798303
391,0.0017503391775030921
437,0.0017182001666682923
83,0.0016844332633252454
241,0.0016044948827422933
101,0.001579681433947884
370,0.0015647301445171602
6,0.001515417254000533
204,0.00148285816415476
123,0.0014599913104782424
233,0.0014483560852418442
63,0.0014406019405452406
313,0.0013999691343763315
349,0.0013303205158968856
12,0.0012715999430877312
315,0.001267213393131956
144,0.0011188476562117272
49,0.001096174389146176
162,0.001094686291733857
176,0.0010824165703583932
248,0.001079583602990875
11,0.0010495838424890277
302,0.0009413314581095792
373,0.0009392474830468081
444,0.0009254006524886235
201,0.0008933987819379706
80,0.0008546573129143553
212,0.0008361030136316175
128,0.0007878891521135166
331,0.0007547254552780332
75,0.0007291694372754942
320,0.0007243384762835705
7,0.0006234205627117549
425,0.0006026017541891735
298,0.0005886640771750648
405,0.0005014135055823632
259,0.0003983546329327514
345,0.00037897985251053584
293,0.00035547167505016035
56,0.00032277404296322197
341,0.00027776316451576076
190,0.0
188,0.0
187,0.0
185,0.0
183,0.0
182,0.0
180,0.0
179,0.0
177,0.0
207,0.0
206,0.0
203,0.0
200,0.0
199,0.0
132,0.0
131,0.0
130,0.0
129,0.0
159,0.0
157,0.0
154,0.0
153,0.0
152,0.0
151,0.0
150,0.0
149,0.0
196,0.0
193,0.0
192,0.0
221,0.0
220,0.0
219,0.0
218,0.0
217,0.0
216,0.0
214,0.0
211,0.0
210,0.0
209,0.0
208,0.0
237,0.0
236,0.0
235,0.0
234,0.0
232,0.0
230,0.0
115,0.0
114,0.0
113,0.0
143,0.0
142,0.0
141,0.0
139,0.0
138,0.0
137,0.0
136,0.0
135,0.0
226,0.0
224,0.0
255,0.0
253,0.0
250,0.0
247,0.0
246,0.0
245,0.0
242,0.0
240,0.0
271,0.0
269,0.0
264,0.0
263,0.0
262,0.0
98,0.0
97,0.0
96,0.0
126,0.0
125,0.0
120,0.0
118,0.0
117,0.0
258,0.0
257,0.0
287,0.0
286,0.0
279,0.0
278,0.0
275,0.0
273,0.0
272,0.0
303,0.0
300,0.0
243,0.0
294,0.0
40,0.0
84,0.0
428,0.0
3,0.0
111,0.0
110,0.0
109,0.0
107,0.0
106,0.0
105,0.0
104,0.0
103,0.0
102,0.0
25,0.0
292,0.0
291,0.0
290,0.0
319,0.0
318,0.0
316,0.0
404,0.0
314,0.0
400,0.0
310,0.0
309,0.0
446,0.0
307,0.0
306,0.0
305,0.0
304,0.0
335,0.0
334,0.0
333,0.0
332,0.0
295,0.0
330,0.0
329,0.0
328,0.0
327,0.0
326,0.0
325,0.0
445,0.0
65,0.0
95,0.0
94,0.0
90,0.0
89,0.0
88,0.0
85,0.0
324,0.0
323,0.0
322,0.0
443,0.0
351,0.0
350,0.0
442,0.0
440,0.0
438,0.0
343,0.0
8,0.0
340,0.0
337,0.0
336,0.0
367,0.0
366,0.0
365,0.0
364,0.0
363,0.0
362,0.0
17,0.0
359,0.0
357,0.0
14,0.0
24,0.0
48,0.0
9,0.0
73,0.0
72,0.0
71,0.0
69,0.0
148,0.0
354,0.0
353,0.0
382,0.0
381,0.0
380,0.0
378,0.0
377,0.0
376,0.0
375,0.0
147,0.0
371,0.0
146,0.0
369,0.0
368,0.0
174,0.0
398,0.0
397,0.0
396,0.0
395,0.0
173,0.0
390,0.0
171,0.0
34,0.0
32,0.0
169,0.0
61,0.0
60,0.0
52,0.0
168,0.0
53,0.0
388,0.0
386,0.0
13,0.0
427,0.0
426,0.0
167,0.0
423,0.0
422,0.0
421,0.0
436,0.0
435,0.0
434,0.0
433,0.0
432,0.0
30,0.0
28,0.0
26,0.0
384,0.0
430,0.0
165,0.0
414,0.0
413,0.0
407,0.0
163,0.0
420,0.0
419,0.0
418,0.0
417,0.0
416,0.0
46,0.0
45,0.0
44,0.0
43,0.0
37,0.0
